Date,Total Value,Cash,Holdings Value
2024-12-26,139332454.888,11678249.888000011,127654205.0
2024-12-27,139148566.888,11678249.888000011,127470317.0
2024-12-30,139158084.888,11678249.888000011,127479835.0
2025-01-02,137756040.888,11678249.888000011,126077791.0
2025-01-03,140776349.888,11678249.888000011,129098100.0
2025-01-06,143874366.888,11678249.888000011,132196117.0
2025-01-07,143714584.888,11678249.888000011,132036335.0
2025-01-08,145409227.888,11678249.888000011,133730978.0
2025-01-09,145129915.888,11678249.888000011,133451666.0
2025-01-10,145452090.888,11678249.888000011,133773841.0
2025-01-13,144385576.35000002,1940853.3500000238,142444723.0
2025-01-14,145254519.35000002,1940853.3500000238,143313666.0
2025-01-15,144614376.35000002,1940853.3500000238,142673523.0
2025-01-16,146337090.35000002,1940853.3500000238,144396237.0
2025-01-17,144962651.35000002,1940853.3500000238,143021798.0
2025-01-20,145677645.35000002,1940853.3500000238,143736792.0
2025-01-21,144351906.35000002,1940853.3500000238,142411053.0
2025-01-22,146363264.35000002,1940853.3500000238,144422411.0
2025-01-23,145546458.35000002,1940853.3500000238,143605605.0
2025-01-24,145922897.35000002,1940853.3500000238,143982044.0
2025-01-31,145159557.35000002,1940853.3500000238,143218704.0
2025-02-03,141267918.35000002,1940853.3500000238,139327065.0
2025-02-04,141248056.35000002,1940853.3500000238,139307203.0
2025-02-05,144018071.35000002,1940853.3500000238,142077218.0
2025-02-06,144085235.35000002,1940853.3500000238,142144382.0
2025-02-07,143571993.35000002,1940853.3500000238,141631140.0
2025-02-10,144222107.35000002,2705753.350000024,141516354.0
2025-02-11,144596114.35000002,2705753.350000024,141890361.0
2025-02-12,142850331.35000002,2705753.350000024,140144578.0
2025-02-13,145746182.35000002,2705753.350000024,143040429.0
2025-02-14,146025063.35000002,2705753.350000024,143319310.0
2025-02-17,146194169.35000002,2705753.350000024,143488416.0
2025-02-18,146127271.35000002,2705753.350000024,143421518.0
2025-02-19,148563513.35000002,2705753.350000024,145857760.0
2025-02-20,148797062.35000002,2705753.350000024,146091309.0
2025-02-21,149889689.35000002,2705753.350000024,147183936.0
2025-02-24,149549977.35000002,2705753.350000024,146844224.0
2025-02-25,147800074.35000002,2705753.350000024,145094321.0
2025-02-26,149830842.35000002,2705753.350000024,147125089.0
2025-02-27,147423430.35000002,2705753.350000024,144717677.0
2025-02-28,142649958.35000002,2705753.350000024,139944205.0
2025-03-04,140956899.35000002,2705753.350000024,138251146.0
2025-03-05,142869285.35000002,2705753.350000024,140163532.0
2025-03-06,145659872.35000002,2705753.350000024,142954119.0
2025-03-07,145396226.35000002,2705753.350000024,142690473.0
2025-03-10,146328104.35000002,3475553.350000024,142852551.0
2025-03-11,144562253.35000002,3475553.350000024,141086700.0
2025-03-12,147727405.35000002,3475553.350000024,144251852.0
2025-03-13,147575696.35000002,3475553.350000024,144100143.0
2025-03-14,146103773.35000002,3475553.350000024,142628220.0
2025-03-17,147685270.35000002,3475553.350000024,144209717.0
2025-03-18,147356978.35000002,3475553.350000024,143881425.0
2025-03-19,148763914.35000002,3475553.350000024,145288361.0
2025-03-20,150575569.35000002,3475553.350000024,147100016.0
2025-03-21,151222004.35000002,3475553.350000024,147746451.0
2025-03-24,150217403.35000002,3475553.350000024,146741850.0
2025-03-25,150692147.35000002,3475553.350000024,147216594.0
2025-03-26,152419642.35000002,3475553.350000024,148944089.0
2025-03-27,149206200.35000002,3475553.350000024,145730647.0
2025-03-28,145950888.35000002,3475553.350000024,142475335.0
2025-03-31,140807127.35000002,3475553.350000024,137331574.0
2025-04-01,143078187.35000002,3475553.350000024,139602634.0
2025-04-02,142030349.35000002,3475553.350000024,138554796.0
2025-04-03,141279389.35000002,3475553.350000024,137803836.0
2025-04-04,139854161.35000002,3475553.350000024,136378608.0
2025-04-07,132156727.35000002,3475553.350000024,128681174.0
2025-04-08,130847232.35000002,3475553.350000024,127371679.0
2025-04-09,129003479.35000002,3475553.350000024,125527926.0
2025-04-10,136972595.35000002,3475553.350000024,133497042.0
2025-04-11,134015714.35000002,3475553.350000024,130540161.0
2025-04-14,135994068.35000002,4260253.350000024,131733815.0
2025-04-15,137324901.35000002,4260253.350000024,133064648.0
2025-04-16,135684706.35000002,4260253.350000024,131424453.0
2025-04-17,136393329.35000002,4260253.350000024,132133076.0
2025-04-18,137228313.35000002,4260253.350000024,132968060.0
2025-04-21,137510172.35000002,4260253.350000024,133249919.0
2025-04-22,137541340.35000002,4260253.350000024,133281087.0
